#Chromosome	Start	End	StrainID	UniversalID	Strand	EnsemblReferenceID	ParentID	Level	Biotype	Exons
9	68966805	68967092	PGCAROLIT00000002589	PGALLT00000095105	-	PgeneID:ENSMUST00000183453.1	ParentID:ENSMUST00000028470	LEVEL_1	PSSD	[[68966805, 68967092]]
2	99017924	99018308	PGCAROLIT00000007595	PGALLT00000090896	-	PgeneID:ENSMUST00000117578.1	ParentID:ENSMUST00000004072	LEVEL_1	transcribed_PSSD	[[99017924, 99018308]]
1	3736229	3737992	PGCAROLIT00000005188	PGALLT00000093777	-	PgeneID:ENSMUST00000195269.1	ParentID:ENSMUST00000029445	LEVEL_1	PSSD	[[3736229, 3737992]]
7	127246749	127247193	PGCAROLIT00000004855	PGALLT00000088614	-	PgeneID:ENSMUST00000073056.8	ParentID:ENSMUST00000074267	LEVEL_1	PSSD	[[127246749, 127247193]]
5	81285925	81286296	PGCAROLIT00000010101	PGALLT00000096276	+	PgeneID:ENSMUST00000197229.1	ParentID:NA	LEVEL_2	PSSD	[[81285925, 81286296]]
16	53319091	53321343	PGCAROLIT00000010492	PGALLT00000090963	+	PgeneID:ENSMUST00000122099.1	ParentID:ENSMUST00000111861	LEVEL_1	PSSD	[[53319091, 53321343]]
scaffold_19522	11891	12230	PGCAROLIT00000009914	PGALLT00000093873	+	PgeneID:ENSMUST00000162999.1	ParentID:NA	LEVEL_2	PSSD	[[11891, 12230]]
7	45127391	45127975	PGCAROLIT00000006199	PGALLT00000092511	+	PgeneID:ENSMUST00000206819.1	ParentID:ENSMUST00000182501	LEVEL_1	PSSD	[[45127391, 45127975]]
12	109060010	109060309	PGCAROLIT00000008237	PGALLT00000093540	-	PgeneID:ENSMUST00000193702.1	ParentID:NA	LEVEL_2	IG_V_pseudogene	[[109060010, 109060309]]
X	4332508	4333011	PGCAROLIT00000003186	PGALLT00000096457	-	PgeneID:ENSMUST00000130841.1	ParentID:ENSMUST00000090860	LEVEL_1	transcribed_PSSD	[[4332508, 4333011]]
3	32231446	32237433	PGCAROLIT00000009777	PGALLT00000090994	-	PgeneID:ENSMUST00000189087.1	ParentID:ENSMUST00000146324	LEVEL_1	PSSD	[[32231446,  32231448],  [32234123,  32234326],  [32237240, 32237433]]
1	115169741	115173722	PGCAROLIT00000010139	PGALLT00000096923	+	PgeneID:ENSMUST00000186939.1	ParentID:NA	LEVEL_2	PSSD	[[115169741,  115169891],  [115173590, 115173722]]
17	34361544	34362452	PGCAROLIT00000010851	PGALLT00000091599	+	PgeneID:ENSMUST00000178647.1	ParentID:ENSMUST00000169373	LEVEL_1	DUP	[[34361544, 34362452]]
1	48466495	48467703	PGCAROLIT00000002584	PGALLT00000096013	+	PgeneID:ENSMUST00000185933.1	ParentID:ENSMUST00000109940	LEVEL_1	PSSD	[[48466495, 48467703]]
4	41207223	41207392	PGCAROLIT00000001859	PGALLT00000089258	-	PgeneID:ENSMUST00000118334.1	ParentID:ENSMUST00000105139	LEVEL_1	PSSD	[[41207223, 41207392]]
X	149659655	149661599	PGCAROLIT00000000565	PGALLT00000080913	-	PgeneID:ENSMUST00000206932.1	ParentID:ENSMUST00000051758	LEVEL_1	PSSD	[[149659655,  149661190],  [149661287, 149661599]]
7	16689189	16698620	PGCAROLIT00000001804	PGALLT00000088863	+	PgeneID:ENSMUST00000165490.3	ParentID:ENSMUST00000108483	LEVEL_1	transcribed_DUP	[[16689189,  16689398],  [16690349,  16690708],  [16694561,  16694920],  [16696969,  16697328],  [16698337, 16698620]]
3	87283772	87284238	PGCAROLIT00000004486	PGALLT00000093063	-	PgeneID:ENSMUST00000194345.1	ParentID:ENSMUST00000144337	LEVEL_1	PSSD	[[87283772, 87284238]]
13	20147538	20148075	PGCAROLIT00000007002	PGALLT00000092457	+	PgeneID:ENSMUST00000122316.1	ParentID:ENSMUST00000143107	LEVEL_1	PSSD	[[20147538, 20148075]]
14	69361815	69362348	PGCAROLIT00000002642	PGALLT00000097025	-	PgeneID:ENSMUST00000121516.1	ParentID:NA	LEVEL_2	PSSD	[[69361815, 69362348]]
5	44305385	44317375	PGCAROLIT00000001019	PGALLT00000092066	+	PgeneID:ENSMUST00000196032.1	ParentID:ENSMUST00000073490	LEVEL_1	DUP	[[44305385,  44305600],  [44316587, 44317375]]
7	59412167	59412593	PGCAROLIT00000002930	PGALLT00000092136	-	PgeneID:ENSMUST00000205283.1	ParentID:ENSMUST00000112043	LEVEL_1	PSSD	[[59412167, 59412593]]
10	96979765	96981058	PGCAROLIT00000004786	PGALLT00000091201	-	PgeneID:ENSMUST00000182615.1	ParentID:ENSMUST00000182277	LEVEL_1	PSSD	[[96979765,  96980245],  [96980545, 96981058]]
X	6521218	6521756	PGCAROLIT00000004532	PGALLT00000091782	+	PgeneID:ENSMUST00000134558.1	ParentID:ENSMUST00000185771	LEVEL_1	PSSD	[[6521218, 6521756]]
3	31657636	31658828	PGCAROLIT00000009716	PGALLT00000091273	-	PgeneID:ENSMUST00000120538.1	ParentID:NA	LEVEL_2	PSSD	[[31657636,  31657953],  [31658541, 31658828]]
5	141406087	141406716	PGCAROLIT00000006042	PGALLT00000088143	+	PgeneID:ENSMUST00000202661.1	ParentID:ENSMUST00000150576	LEVEL_1	PSSD	[[141406087, 141406716]]
5	66339846	66340456	PGCAROLIT00000011368	PGALLT00000089739	+	PgeneID:ENSMUST00000202586.1	ParentID:ENSMUST00000150576	LEVEL_1	transcribed_PSSD	[[66339846, 66340456]]
1	5429435	5429946	PGCAROLIT00000010973	PGALLT00000090734	-	PgeneID:ENSMUST00000195333.1	ParentID:ENSMUST00000035105	LEVEL_1	PSSD	[[5429435, 5429946]]
13	5531159	5532356	PGCAROLIT00000003509	PGALLT00000096059	-	PgeneID:ENSMUST00000184813.1	ParentID:NA	LEVEL_2	DUP	[[5531159,  5531283],  [5532270, 5532356]]
3	117703388	117703887	PGCAROLIT00000004295	PGALLT00000091167	+	PgeneID:ENSMUST00000168454.3	ParentID:ENSMUST00000051955	LEVEL_1	transcribed_PSSD	[[117703388, 117703887]]
7	111600535	111602240	PGCAROLIT00000004875	PGALLT00000094834	-	PgeneID:ENSMUST00000120160.1	ParentID:ENSMUST00000115721	LEVEL_1	PSSD	[[111600535, 111602240]]
X	113543992	113545667	PGCAROLIT00000005052	PGALLT00000091726	+	PgeneID:ENSMUST00000118719.1	ParentID:ENSMUST00000004955	LEVEL_1	PSSD	[[113543992, 113545667]]
3	67889718	67890323	PGCAROLIT00000004493	PGALLT00000092732	+	PgeneID:ENSMUST00000195228.1	ParentID:ENSMUST00000102696	LEVEL_1	PSSD	[[67889718, 67890323]]
19	55252791	55253170	PGCAROLIT00000010674	PGALLT00000091854	+	PgeneID:ENSMUST00000165577.1	ParentID:ENSMUST00000152407	LEVEL_1	PSSD	[[55252791, 55253170]]
1	18857421	18858064	PGCAROLIT00000009028	PGALLT00000087216	-	PgeneID:ENSMUST00000189078.1	ParentID:ENSMUST00000026704	LEVEL_1	PSSD	[[18857421, 18858064]]
6	94686514	94687466	PGCAROLIT00000007444	PGALLT00000091399	+	PgeneID:ENSMUST00000203053.1	ParentID:ENSMUST00000153892	LEVEL_1	PSSD	[[94686514, 94687466]]
3	9925380	9925519	PGCAROLIT00000011470	PGALLT00000095175	+	PgeneID:ENSMUST00000192945.1	ParentID:NA	LEVEL_2	PSSD	[[9925380, 9925519]]
7	125127523	125128110	PGCAROLIT00000001399	PGALLT00000089207	+	PgeneID:ENSMUST00000205729.1	ParentID:ENSMUST00000102536	LEVEL_1	PSSD	[[125127523, 125128110]]
6	104814918	104815177	PGCAROLIT00000011016	PGALLT00000089124	+	PgeneID:ENSMUST00000203532.1	ParentID:ENSMUST00000078804	LEVEL_1	PSSD	[[104814918, 104815177]]
7	630620	632821	PGCAROLIT00000005813	PGALLT00000084692	-	PgeneID:ENSMUST00000119300.1	ParentID:ENSMUST00000078451	LEVEL_1	DUP	[[630620,  631424],  [631537,  631793],  [632066,  632390],  [632514, 632821]]
scaffold_22601	6528	6963	PGCAROLIT00000000156	PGALLT00000084937	+	PgeneID:ENSMUST00000195031.1	ParentID:NA	LEVEL_2	IG_V_pseudogene	[[6528,  6573],  [6736, 6963]]
7	105769604	105770551	PGCAROLIT00000011422	PGALLT00000094494	+	PgeneID:ENSMUST00000118378.1	ParentID:ENSMUST00000051505	LEVEL_1	DUP	[[105769604, 105770551]]
scaffold_20977	5027	5917	PGCAROLIT00000007967	PGALLT00000090620	-	PgeneID:ENSMUST00000177433.1	ParentID:NA	LEVEL_2	DUP	[[5027, 5917]]
3	9899687	9901832	PGCAROLIT00000003975	PGALLT00000087681	-	PgeneID:ENSMUST00000182945.1	ParentID:ENSMUST00000182277	LEVEL_1	PSSD	[[9899687,  9900327],  [9901403, 9901832]]
scaffold_9324	59523	59796	PGCAROLIT00000010021	PGALLT00000094727	-	PgeneID:ENSMUST00000186649.1	ParentID:NA	LEVEL_2	PSSD	[[59523, 59796]]
8	50388120	50389149	PGCAROLIT00000003056	PGALLT00000093866	-	PgeneID:ENSMUST00000098952.3	ParentID:ENSMUST00000022341	LEVEL_1	PSSD	[[50388120,  50388851],  [50388958, 50389149]]
5	69110029	69110502	PGCAROLIT00000004675	PGALLT00000091283	+	PgeneID:ENSMUST00000119356.1	ParentID:ENSMUST00000079362	LEVEL_1	transcribed_PSSD	[[69110029, 69110502]]
5	145195122	145198693	PGCAROLIT00000001538	PGALLT00000092273	+	PgeneID:ENSMUST00000202147.1	ParentID:ENSMUST00000170835	LEVEL_1	DUP	[[145195122,  145195248],  [145197074,  145197323],  [145198334, 145198693]]
7	1323439	1324275	PGCAROLIT00000011515	PGALLT00000094656	+	PgeneID:ENSMUST00000206307.1	ParentID:jg178.t1	LEVEL_1	PSSD	[[1323439,  1323912],  [1323974, 1324275]]
6	55664695	55665927	PGCAROLIT00000005541	PGALLT00000093468	-	PgeneID:ENSMUST00000204855.1	ParentID:ENSMUST00000028087	LEVEL_1	PSSD	[[55664695, 55665927]]
X	60218598	60219518	PGCAROLIT00000003478	PGALLT00000093980	+	PgeneID:ENSMUST00000121973.2	ParentID:ENSMUST00000170759	LEVEL_1	PSSD	[[60218598,  60218854],  [60219011, 60219518]]
6	28048501	28051421	PGCAROLIT00000006040	PGALLT00000087395	-	PgeneID:ENSMUST00000122048.1	ParentID:ENSMUST00000009411	LEVEL_1	PSSD	[[28048501,  28050618],  [28050832, 28051421]]
5	39353013	39353349	PGCAROLIT00000010873	PGALLT00000088011	-	PgeneID:ENSMUST00000087431.4	ParentID:NA	LEVEL_2	pseudogene	[[39353013,  39353151],  [39353248, 39353349]]
1	27880227	27881822	PGCAROLIT00000008994	PGALLT00000088172	-	PgeneID:ENSMUST00000191025.1	ParentID:ENSMUST00000034226	LEVEL_1	PSSD	[[27880227, 27881822]]
4	55848443	55849764	PGCAROLIT00000009456	PGALLT00000090770	-	PgeneID:ENSMUST00000118063.1	ParentID:ENSMUST00000055915	LEVEL_1	PSSD	[[55848443,  55848675],  [55849254,  55849317],  [55849420, 55849764]]
9	103671780	103672118	PGCAROLIT00000002645	PGALLT00000093890	+	PgeneID:ENSMUST00000191755.1	ParentID:ENSMUST00000106590	LEVEL_1	PSSD	[[103671780, 103672118]]
3	427819	428597	PGCAROLIT00000006267	PGALLT00000091852	+	PgeneID:ENSMUST00000193335.1	ParentID:ENSMUST00000173934	LEVEL_1	PSSD	[[427819, 428597]]
9	99589242	99589882	PGCAROLIT00000004562	PGALLT00000092366	-	PgeneID:ENSMUST00000185927.1	ParentID:ENSMUST00000110505	LEVEL_1	PSSD	[[99589242, 99589882]]
3	95073512	95074047	PGCAROLIT00000009086	PGALLT00000093831	+	PgeneID:ENSMUST00000122449.1	ParentID:ENSMUST00000054220	LEVEL_1	PSSD	[[95073512, 95074047]]
2	120430289	120439652	PGCAROLIT00000008124	PGALLT00000096361	+	PgeneID:ENSMUST00000120816.1	ParentID:NA	LEVEL_2	PSSD	[[120430289,  120430414],  [120431540,  120431779],  [120435864,  120435916],  [120436698,  120436749],  [120437180,  120437246],  [120438181,  120438316],  [120439428, 120439652]]
2	123776932	123777647	PGCAROLIT00000000784	PGALLT00000094155	+	PgeneID:ENSMUST00000121009.1	ParentID:ENSMUST00000139443	LEVEL_1	PSSD	[[123776932, 123777647]]
16	205267	205853	PGCAROLIT00000009344	PGALLT00000093341	+	PgeneID:ENSMUST00000118452.2	ParentID:ENSMUST00000127874	LEVEL_1	PSSD	[[205267, 205853]]
scaffold_19682	18399	19064	PGCAROLIT00000000266	PGALLT00000085640	-	PgeneID:ENSMUST00000120844.1	ParentID:NA	LEVEL_2	DUP	[[18399,  18694],  [19023, 19064]]
6	59419581	59422291	PGCAROLIT00000003099	PGALLT00000089014	+	PgeneID:ENSMUST00000137642.2	ParentID:ENSMUST00000179365	LEVEL_1	PSSD	[[59419581, 59422291]]
1	184816686	184817400	PGCAROLIT00000007473	PGALLT00000089580	-	PgeneID:ENSMUST00000191940.1	ParentID:ENSMUST00000025204	LEVEL_1	PSSD	[[184816686, 184817400]]
1	113931525	113932857	PGCAROLIT00000003377	PGALLT00000093272	-	PgeneID:ENSMUST00000119656.1	ParentID:ENSMUST00000028392	LEVEL_1	PSSD	[[113931525, 113932857]]
6	129919033	129919969	PGCAROLIT00000001214	PGALLT00000089515	-	PgeneID:ENSMUST00000203065.1	ParentID:ENSMUST00000076119	LEVEL_1	DUP	[[129919033, 129919969]]
13	37455615	37456697	PGCAROLIT00000006760	PGALLT00000091407	+	PgeneID:ENSMUST00000196041.1	ParentID:NA	LEVEL_2	PSSD	[[37455615, 37456697]]
17	2708596	2709084	PGCAROLIT00000000809	PGALLT00000090483	+	PgeneID:ENSMUST00000181585.1	ParentID:ENSMUST00000126610	LEVEL_1	PSSD	[[2708596, 2709084]]
13	83528152	83528768	PGCAROLIT00000000994	PGALLT00000090929	+	PgeneID:ENSMUST00000162402.1	ParentID:ENSMUST00000110505	LEVEL_1	PSSD	[[83528152, 83528768]]
14	44302849	44316308	PGCAROLIT00000002201	PGALLT00000089363	+	PgeneID:ENSMUST00000071842.9	ParentID:NA	LEVEL_2	PSSD	[[44302849,  44302916],  [44308452,  44308700],  [44309530,  44309789],  [44310102,  44310341],  [44314537,  44315287],  [44315582,  44315740],  [44316257, 44316308]]
scaffold_8740_2132:71133_	3103	3519	PGCAROLIT00000007426	PGALLT00000089660	+	PgeneID:ENSMUST00000190928.1	ParentID:NA	LEVEL_2	PSSD	[[3103, 3519]]
3	4747707	4748587	PGCAROLIT00000010907	PGALLT00000092248	+	PgeneID:ENSMUST00000192187.1	ParentID:ENSMUST00000049567	LEVEL_1	PSSD	[[4747707, 4748587]]
3	43409936	43410597	PGCAROLIT00000005302	PGALLT00000087491	-	PgeneID:ENSMUST00000193525.1	ParentID:ENSMUST00000134881	LEVEL_1	PSSD	[[43409936, 43410597]]
4	125665484	125666796	PGCAROLIT00000005679	PGALLT00000093961	+	PgeneID:ENSMUST00000121866.1	ParentID:ENSMUST00000041045	LEVEL_1	PSSD	[[125665484, 125666796]]
2	107591063	107591846	PGCAROLIT00000005704	PGALLT00000095596	+	PgeneID:ENSMUST00000119253.1	ParentID:jg178.t1	LEVEL_1	PSSD	[[107591063, 107591846]]
1	151904895	151906445	PGCAROLIT00000004385	PGALLT00000088738	-	PgeneID:ENSMUST00000194329.1	ParentID:ENSMUST00000015435	LEVEL_1	PSSD	[[151904895, 151906445]]
13	50202031	50205024	PGCAROLIT00000000525	PGALLT00000095900	+	PgeneID:ENSMUST00000066241.6	ParentID:NA	LEVEL_2	PSSD	[[50202031,  50202209],  [50202456,  50202552],  [50203121,  50203169],  [50204230,  50204357],  [50204476,  50204616],  [50204913, 50205024]]
1	58134304	58134834	PGCAROLIT00000008489	PGALLT00000094875	+	PgeneID:ENSMUST00000117621.1	ParentID:ENSMUST00000132846	LEVEL_1	PSSD	[[58134304, 58134834]]
9	101510349	101511071	PGCAROLIT00000002070	PGALLT00000088792	-	PgeneID:ENSMUST00000188491.1	ParentID:ENSMUST00000031617	LEVEL_1	PSSD	[[101510349,  101510505],  [101510576, 101511071]]
11	63778697	63781901	PGCAROLIT00000005949	PGALLT00000087194	+	PgeneID:ENSMUST00000204772.1	ParentID:NA	LEVEL_2	PSSD	[[63778697,  63778708],  [63778841,  63779022],  [63779164,  63779313],  [63779402,  63779548],  [63781149,  63781327],  [63781793, 63781901]]
2	82264043	82264993	PGCAROLIT00000009779	PGALLT00000096765	-	PgeneID:ENSMUST00000117860.1	ParentID:ENSMUST00000099830	LEVEL_1	DUP	[[82264043, 82264993]]
4	133942739	133943190	PGCAROLIT00000000398	PGALLT00000090688	-	PgeneID:ENSMUST00000118380.1	ParentID:ENSMUST00000030326	LEVEL_1	DUP	[[133942739, 133943190]]
5	135360275	135360709	PGCAROLIT00000007609	PGALLT00000090029	-	PgeneID:ENSMUST00000177490.1	ParentID:ENSMUST00000099985	LEVEL_1	PSSD	[[135360275, 135360709]]
5	89234643	89235250	PGCAROLIT00000005117	PGALLT00000097267	+	PgeneID:ENSMUST00000048361.9	ParentID:ENSMUST00000081649	LEVEL_1	PSSD	[[89234643, 89235250]]
5	33415265	33416114	PGCAROLIT00000002345	PGALLT00000093529	-	PgeneID:ENSMUST00000147322.1	ParentID:ENSMUST00000025106	LEVEL_1	PSSD	[[33415265, 33416114]]
13	36448712	36449039	PGCAROLIT00000007285	PGALLT00000089643	+	PgeneID:ENSMUST00000194617.1	ParentID:NA	LEVEL_2	PSSD	[[36448712, 36449039]]
7	128767495	128767922	PGCAROLIT00000009183	PGALLT00000093020	+	PgeneID:ENSMUST00000205725.1	ParentID:ENSMUST00000173098	LEVEL_1	PSSD	[[128767495, 128767922]]
2	102696716	102697243	PGCAROLIT00000001270	PGALLT00000095330	-	PgeneID:ENSMUST00000119899.1	ParentID:ENSMUST00000079716	LEVEL_1	PSSD	[[102696716, 102697243]]
6	68242127	68243098	PGCAROLIT00000006481	PGALLT00000092542	+	PgeneID:ENSMUST00000204649.1	ParentID:ENSMUST00000161308	LEVEL_1	PSSD	[[68242127, 68243098]]
X	37747380	37748898	PGCAROLIT00000010782	PGALLT00000090069	+	PgeneID:ENSMUST00000120273.1	ParentID:ENSMUST00000032440	LEVEL_1	PSSD	[[37747380, 37748898]]
5	110244426	110244930	PGCAROLIT00000000359	PGALLT00000092522	-	PgeneID:ENSMUST00000202659.1	ParentID:ENSMUST00000023085	LEVEL_1	PSSD	[[110244426, 110244930]]
scaffold_15509	26538	27271	PGCAROLIT00000004302	PGALLT00000096357	-	PgeneID:ENSMUST00000191444.1	ParentID:ENSMUST00000022163	LEVEL_1	PSSD	[[26538,  26594],  [26982, 27271]]
3	55165927	55166221	PGCAROLIT00000006071	PGALLT00000091832	-	PgeneID:ENSMUST00000194615.1	ParentID:ENSMUST00000059983	LEVEL_1	PSSD	[[55165927, 55166221]]
5	132422116	132422570	PGCAROLIT00000004358	PGALLT00000088545	+	PgeneID:ENSMUST00000198319.1	ParentID:ENSMUST00000073471	LEVEL_1	PSSD	[[132422116, 132422570]]
11	105057128	105058121	PGCAROLIT00000007870	PGALLT00000090790	-	PgeneID:ENSMUST00000120913.1	ParentID:ENSMUST00000182277	LEVEL_1	PSSD	[[105057128, 105058121]]
17	32960734	32961658	PGCAROLIT00000003655	PGALLT00000088085	-	PgeneID:ENSMUST00000173290.3	ParentID:ENSMUST00000113879	LEVEL_1	DUP	[[32960734,  32960999],  [32961144,  32961395],  [32961587, 32961658]]
6	59623504	59624917	PGCAROLIT00000010639	PGALLT00000092562	-	PgeneID:ENSMUST00000204335.1	ParentID:NA	LEVEL_2	PSSD	[[59623504,  59623749],  [59624485,  59624670],  [59624872, 59624917]]
11	64368664	64368882	PGCAROLIT00000000605	PGALLT00000094844	-	PgeneID:ENSMUST00000119889.1	ParentID:ENSMUST00000160682	LEVEL_1	PSSD	[[64368664,  64368743],  [64368780, 64368882]]
4	93432460	93483321	PGCAROLIT00000006182	PGALLT00000089987	+	PgeneID:ENSMUST00000120282.1	ParentID:NA	LEVEL_2	PSSD	[[93432460,  93432605],  [93480127,  93480305],  [93482609,  93482724],  [93483208, 93483321]]
1	93956333	93956848	PGCAROLIT00000000325	PGALLT00000090542	+	PgeneID:ENSMUST00000188761.1	ParentID:ENSMUST00000054607	LEVEL_1	PSSD	[[93956333, 93956848]]
7	67935626	67937347	PGCAROLIT00000011844	PGALLT00000096526	+	PgeneID:ENSMUST00000205552.1	ParentID:ENSMUST00000023502	LEVEL_1	PSSD	[[67935626, 67937347]]
17	76997116	76998378	PGCAROLIT00000006393	PGALLT00000096875	-	PgeneID:ENSMUST00000198022.1	ParentID:ENSMUST00000166123	LEVEL_1	PSSD	[[76997116,  76997688],  [76997772, 76998378]]
4	39454254	39455150	PGCAROLIT00000010813	PGALLT00000094008	-	PgeneID:ENSMUST00000205579.1	ParentID:NA	LEVEL_2	PSSD	[[39454254, 39455150]]
11	59811666	59812245	PGCAROLIT00000007380	PGALLT00000092575	-	PgeneID:ENSMUST00000119723.1	ParentID:ENSMUST00000022135	LEVEL_1	PSSD	[[59811666,  59812113],  [59812245, 59812245]]
18	85543616	85544035	PGCAROLIT00000001869	PGALLT00000092089	-	PgeneID:ENSMUST00000159905.1	ParentID:ENSMUST00000182634	LEVEL_1	PSSD	[[85543616, 85544035]]
scaffold_7531	8134	8533	PGCAROLIT00000009403	PGALLT00000093718	+	PgeneID:ENSMUST00000206419.1	ParentID:ENSMUST00000106454	LEVEL_1	PSSD	[[8134, 8533]]
3	23388899	23389917	PGCAROLIT00000003663	PGALLT00000090622	+	PgeneID:ENSMUST00000192290.1	ParentID:ENSMUST00000082223	LEVEL_1	PSSD	[[23388899, 23389917]]
11	92640631	92641442	PGCAROLIT00000005660	PGALLT00000090315	+	PgeneID:ENSMUST00000119349.1	ParentID:ENSMUST00000169678	LEVEL_1	PSSD	[[92640631, 92641442]]
X	83623683	83623975	PGCAROLIT00000008088	PGALLT00000090163	-	PgeneID:ENSMUST00000119725.1	ParentID:ENSMUST00000102852	LEVEL_1	PSSD	[[83623683, 83623975]]
1	44613221	44614389	PGCAROLIT00000009493	PGALLT00000091898	-	PgeneID:ENSMUST00000186145.1	ParentID:ENSMUST00000016463	LEVEL_1	PSSD	[[44613221,  44613439],  [44613624, 44614389]]
15	92189190	92189427	PGCAROLIT00000001373	PGALLT00000088939	+	PgeneID:ENSMUST00000205676.1	ParentID:NA	LEVEL_2	DUP	[[92189190, 92189427]]
2	148736531	148737218	PGCAROLIT00000001678	PGALLT00000097284	-	PgeneID:ENSMUST00000120090.1	ParentID:ENSMUST00000127874	LEVEL_1	PSSD	[[148736531, 148737218]]
5	100291703	100292446	PGCAROLIT00000004551	PGALLT00000096238	-	PgeneID:ENSMUST00000120842.1	ParentID:ENSMUST00000139443	LEVEL_1	PSSD	[[100291703,  100292164],  [100292233, 100292446]]
3	59140472	59141076	PGCAROLIT00000001799	PGALLT00000089339	-	PgeneID:ENSMUST00000194448.1	ParentID:ENSMUST00000150576	LEVEL_1	transcribed_PSSD	[[59140472, 59141076]]
4	24774093	24774628	PGCAROLIT00000010842	PGALLT00000087639	+	PgeneID:ENSMUST00000121375.1	ParentID:NA	LEVEL_2	PSSD	[[24774093, 24774628]]
scaffold_20375_2223:13824_	7213	7483	PGCAROLIT00000000946	PGALLT00000092788	+	PgeneID:ENSMUST00000199855.1	ParentID:NA	LEVEL_2	TR_V_pseudogene	[[7213, 7483]]
4	90367429	90368587	PGCAROLIT00000011702	PGALLT00000096536	-	PgeneID:ENSMUST00000121092.1	ParentID:ENSMUST00000098230	LEVEL_1	PSSD	[[90367429, 90368587]]
1	17614642	17616394	PGCAROLIT00000002451	PGALLT00000078458	-	PgeneID:ENSMUST00000182663.2	ParentID:ENSMUST00000060226	LEVEL_1	PSSD	[[17614642, 17616394]]
2	97157307	97157599	PGCAROLIT00000010176	PGALLT00000088685	-	PgeneID:ENSMUST00000118308.1	ParentID:ENSMUST00000059980	LEVEL_1	PSSD	[[97157307, 97157599]]
8	32222576	32225376	PGCAROLIT00000002121	PGALLT00000095095	+	PgeneID:ENSMUST00000117864.1	ParentID:ENSMUST00000001724	LEVEL_1	PSSD	[[32222576,  32222753],  [32223193,  32223339],  [32223448,  32224758],  [32225064, 32225376]]
5	143813373	143813832	PGCAROLIT00000009585	PGALLT00000091380	+	PgeneID:ENSMUST00000201709.1	ParentID:ENSMUST00000194746	LEVEL_1	PSSD	[[143813373, 143813832]]
1	81209832	81210404	PGCAROLIT00000005437	PGALLT00000087865	-	PgeneID:ENSMUST00000188361.1	ParentID:ENSMUST00000150576	LEVEL_1	PSSD	[[81209832, 81210404]]
10	147986	239485	PGCAROLIT00000003723	PGALLT00000090597	+	PgeneID:ENSMUST00000120631.1	ParentID:NA	LEVEL_2	transcribed_PSSD	[[147986,  148297],  [202955,  203034],  [239408, 239485]]
18	43466516	43467091	PGCAROLIT00000008367	PGALLT00000096477	-	PgeneID:ENSMUST00000180618.1	ParentID:ENSMUST00000024897	LEVEL_1	PSSD	[[43466516, 43467091]]
1	4075317	4079609	PGCAROLIT00000008784	PGALLT00000087164	+	PgeneID:ENSMUST00000194219.1	ParentID:ENSMUST00000034960	LEVEL_1	PSSD	[[4075317, 4079609]]
X	93272838	93273210	PGCAROLIT00000005579	PGALLT00000093975	-	PgeneID:ENSMUST00000122291.1	ParentID:ENSMUST00000113627	LEVEL_1	PSSD	[[93272838, 93273210]]
16	55289280	55290181	PGCAROLIT00000008514	PGALLT00000087917	-	PgeneID:ENSMUST00000205922.1	ParentID:ENSMUST00000077027	LEVEL_1	DUP	[[55289280,  55289492],  [55289768,  55289855],  [55289961, 55290181]]
2	160178156	160178642	PGCAROLIT00000011216	PGALLT00000096466	-	PgeneID:ENSMUST00000122080.1	ParentID:ENSMUST00000016977	LEVEL_1	PSSD	[[160178156, 160178642]]
1	76379201	76380362	PGCAROLIT00000001758	PGALLT00000095856	-	PgeneID:ENSMUST00000178732.2	ParentID:ENSMUST00000036004	LEVEL_1	PSSD	[[76379201, 76380362]]
4	68980865	68984454	PGCAROLIT00000008541	PGALLT00000094427	-	PgeneID:ENSMUST00000197218.1	ParentID:ENSMUST00000028617	LEVEL_1	PSSD	[[68980865, 68984454]]
scaffold_18182	16828	18693	PGCAROLIT00000004873	PGALLT00000092139	-	PgeneID:ENSMUST00000199391.1	ParentID:NA	LEVEL_2	PSSD	[[16828,  17684],  [17991, 18693]]
16	12285970	12286353	PGCAROLIT00000010462	PGALLT00000084553	-	PgeneID:ENSMUST00000204884.1	ParentID:ENSMUST00000080622	LEVEL_1	PSSD	[[12285970, 12286353]]
1	54928236	54929770	PGCAROLIT00000007954	PGALLT00000094917	+	PgeneID:ENSMUST00000122024.1	ParentID:ENSMUST00000033797	LEVEL_1	PSSD	[[54928236,  54928582],  [54928647, 54929770]]
X	80887561	80887817	PGCAROLIT00000008467	PGALLT00000090631	+	PgeneID:ENSMUST00000121363.1	ParentID:NA	LEVEL_2	PSSD	[[80887561, 80887817]]
2	18703446	18703827	PGCAROLIT00000007863	PGALLT00000095224	+	PgeneID:ENSMUST00000120235.1	ParentID:jg19875.t1	LEVEL_1	PSSD	[[18703446, 18703827]]
X	146223645	146223868	PGCAROLIT00000003147	PGALLT00000090090	-	PgeneID:ENSMUST00000122457.1	ParentID:ENSMUST00000124967	LEVEL_1	PSSD	[[146223645, 146223868]]
X	59814586	59815553	PGCAROLIT00000000634	PGALLT00000092106	-	PgeneID:ENSMUST00000117722.1	ParentID:ENSMUST00000092621	LEVEL_1	PSSD	[[59814586,  59815131],  [59815264, 59815553]]
