#chr	start	end	strand	query	frac	ins	del	shift	stop	expect	ident	polya	type
CHR_MG4281_PATCH	178214371	178215128	-	ENSMUSP00000126626.2	0.75	2	0	1	0	8e-121	0.957	0	PSSD
CHR_MG4281_PATCH	178217565	178217723	-	ENSMUSP00000116236.1	0.31	0	0	0	1	2e-09	0.604	3	FRAG
CHR_MG4281_PATCH	178222102	178222290	-	ENSMUSP00000082978.3	0.51	0	1	0	0	2e-11	0.656	0	FRAG
CHR_MG4281_PATCH	178223075	178223526	-	ENSMUSP00000132488.1	0.22	3	1	1	2	4e-44	0.737	0	FRAG
CHR_MG4281_PATCH	178230652	178230771	-	ENSMUSP00000097593.3	0.35	0	0	0	1	1e-09	0.700	0	FRAG
CHR_MG4281_PATCH	178233875	178234030	-	ENSMUSP00000116236.1	0.32	0	2	0	1	4e-12	0.667	3	FRAG
CHR_MG4281_PATCH	178240548	178240762	-	ENSMUSP00000082978.3	0.58	1	1	1	0	2e-14	0.740	3	FRAG
CHR_MG4281_PATCH	178240878	178241030	-	ENSMUSP00000082978.3	0.40	0	0	0	0	3e-12	0.784	0	FRAG
CHR_MG4281_PATCH	178242183	178242296	-	ENSMUSP00000114278.1	0.27	0	0	0	0	1e-12	0.711	0	FRAG
CHR_MG4281_PATCH	178242875	178243034	-	ENSMUSP00000114278.1	0.38	1	0	1	0	1e-13	0.755	0	FRAG
CHR_MG4281_PATCH	178246844	178246939	-	ENSMUSP00000105567.1	0.94	0	0	0	1	7e-10	0.812	3	FRAG
CHR_MG4281_PATCH	178257349	178257556	-	ENSMUSP00000082978.3	0.54	2	0	1	2	4e-13	0.667	0	FRAG
CHR_MG4281_PATCH	178258362	178258508	-	ENSMUSP00000114278.1	0.35	1	0	0	1	5e-09	0.583	0	FRAG
CHR_MG4281_PATCH	178259449	178259598	-	ENSMUSP00000114278.1	0.36	0	0	0	0	3e-15	0.720	0	FRAG
CHR_MG4281_PATCH	178261722	178262082	-	ENSMUSP00000080571.4	0.64	2	18	2	0	1e-30	0.633	0	FRAG
CHR_MG4281_PATCH	178267724	178268075	-	ENSMUSP00000064226.8	0.20	5	2	2	0	1e-39	0.808	3	FRAG
CHR_MG4281_PATCH	178268218	178268415	-	ENSMUSP00000148507.1	0.03	0	4	0	0	1e-17	0.714	0	FRAG
CHR_MG4281_PATCH	178268464	178268669	-	ENSMUSP00000083876.2	0.64	1	0	1	0	2e-13	0.783	0	FRAG
CHR_MG4281_PATCH	178269393	178269482	-	ENSMUSP00000114386.1	0.23	0	0	0	0	6e-07	0.767	3	FRAG
CHR_MG4281_PATCH	178271069	178271173	-	ENSMUSP00000082175.3	0.51	1	0	0	2	2e-07	0.824	0	FRAG
CHR_MG4281_PATCH	178272542	178272652	-	ENSMUSP00000082175.3	0.54	1	0	0	1	2e-08	0.833	3	FRAG
CHR_MG4281_PATCH	178273844	178273933	-	ENSMUSP00000114386.1	0.23	0	0	0	0	8e-07	0.833	3	FRAG
CHR_MG4281_PATCH	178279191	178279338	-	ENSMUSP00000114278.1	0.36	1	1	1	0	4e-14	0.780	0	FRAG
CHR_MG4281_PATCH	178279516	178279593	-	ENSMUSP00000105567.1	0.76	0	0	0	0	1e-09	0.962	0	FRAG
CHR_MG4281_PATCH	178279668	178279784	-	ENSMUSP00000114278.1	0.28	0	0	0	0	4e-08	0.667	0	FRAG
CHR_MG4281_PATCH	178283023	178283156	-	ENSMUSP00000122084.1	0.17	1	0	1	1	9e-09	0.800	0	FRAG
CHR_MG4281_PATCH	178284804	178284954	-	ENSMUSP00000114278.1	0.36	1	0	1	0	5e-12	0.720	0	FRAG
CHR_MG4281_PATCH	178285178	178285393	-	ENSMUSP00000082978.3	0.49	10	0	0	0	5e-16	0.708	0	FRAG
CHR_MG4281_PATCH	178290548	178290713	-	ENSMUSP00000114278.1	0.40	1	0	1	1	2e-12	0.691	3	FRAG
CHR_MG4281_PATCH	178292446	178292580	-	ENSMUSP00000114048.1	0.62	0	0	0	0	4e-12	0.756	0	FRAG
CHR_MG4281_PATCH	178296292	178296399	-	ENSMUSP00000082175.3	0.52	1	0	0	1	2e-09	0.857	3	FRAG
CHR_MG4281_PATCH	178296624	178296746	-	ENSMUSP00000097593.3	0.36	0	0	0	2	7e-08	0.634	0	FRAG
CHR_MG4281_PATCH	178297265	178297369	-	ENSMUSP00000082175.3	0.51	1	0	0	0	2e-07	0.771	0	FRAG
CHR_MG4281_PATCH	178299035	178299136	-	ENSMUSP00000082175.3	0.49	1	0	0	1	5e-09	0.939	3	FRAG
CHR_MG4281_PATCH	178300947	178301176	-	ENSMUSP00000082175.3	0.97	13	0	1	2	5e-08	0.487	3	FRAG
CHR_MG4281_PATCH	178305018	178305245	-	ENSMUSP00000082175.3	0.96	14	2	0	5	1e-09	0.527	0	FRAG
CHR_MG4281_PATCH	178306153	178306242	-	ENSMUSP00000105567.1	0.88	0	0	0	0	2e-09	0.867	0	FRAG
CHR_MG4281_PATCH	178308724	178308874	-	ENSMUSP00000114278.1	0.36	1	0	1	1	5e-13	0.800	0	FRAG
CHR_MG4281_PATCH	178311703	178311828	-	ENSMUSP00000114048.1	0.58	0	0	0	0	1e-10	0.762	0	FRAG
CHR_MG4281_PATCH	178312987	178313112	-	ENSMUSP00000114048.1	0.58	0	0	0	0	2e-10	0.762	0	FRAG
CHR_MG4281_PATCH	178315038	178315458	-	ENSMUSP00000123410.1	0.99	3	7	2	1	1e-33	0.824	0	PSSD
CHR_MG4281_PATCH	178315691	178315826	-	ENSMUSP00000114278.1	0.32	1	0	1	0	4e-08	0.711	0	FRAG
CHR_MG4281_PATCH	178315879	178316074	-	ENSMUSP00000082978.3	0.52	1	1	1	3	9e-13	0.758	0	FRAG
CHR_MG4281_PATCH	178339610	178339732	-	ENSMUSP00000114278.1	0.29	0	0	0	1	7e-10	0.634	3	FRAG
CHR_MG4281_PATCH	178339806	178340005	-	ENSMUSP00000082175.3	0.94	5	0	1	2	2e-08	0.606	0	FRAG
CHR_MG4281_PATCH	178340618	178340918	-	ENSMUSP00000080894.2	0.82	6	1	3	1	4e-11	0.614	3	PSSD
CHR_MG4281_PATCH	178342585	178342718	-	ENSMUSP00000139241.1	0.71	1	3	1	0	3e-07	0.771	0	FRAG
CHR_MG4281_PATCH	178344610	178344758	-	ENSMUSP00000136352.1	0.20	1	0	1	1	2e-13	0.880	3	FRAG
GL456219.1	41805	42399	-	ENSMUSP00000077568.2	1.00	4	120	4	1	6e-22	0.436	0	PSSD
GL456219.1	114799	115693	-	ENSMUSP00000083520.1	0.90	2	1	2	2	3e-87	0.640	1	PSSD
GL456219.1	172230	172457	-	ENSMUSP00000136142.1	0.26	2	4	2	0	7e-08	0.512	0	FRAG
GL456354.1	25753	26269	-	ENSMUSP00000126247.1	0.37	2	10	2	2	2e-50	0.721	0	FRAG
GL456354.1	75965	76255	-	ENSMUSP00000144523.1	0.51	0	0	0	0	4e-47	0.959	3	FRAG
GL456354.1	77372	77512	-	ENSMUSP00000088938.4	0.32	0	0	0	2	3e-07	0.596	0	FRAG
GL456354.1	187589	187806	-	ENSMUSP00000127988.2	0.30	1	11	1	1	1e-13	0.524	0	FRAG
GL456354.1	189683	190967	-	ENSMUSP00000096850.1	0.94	0	0	0	1	1e-50	0.95	0	DUP
JH584294.1	42524	42757	-	ENSMUSP00000068585.3	0.51	0	0	0	1	5e-06	0.949	3	FRAG
JH584294.1	60634	63579	-	ENSMUSP00000103615.1	1.00	0	0	0	1	0.0	0.964	0	PSSD
JH584294.1	82346	82693	-	ENSMUSP00000103667.2	0.90	0	0	0	0	2e-30	0.92	0	DUP
JH584296.1	33403	33693	-	ENSMUSP00000144523.1	0.51	0	0	0	0	2e-47	0.969	3	FRAG
JH584296.1	34780	34920	-	ENSMUSP00000088938.4	0.32	0	0	0	1	3e-08	0.617	0	FRAG
JH584296.1	77791	77877	-	ENSMUSP00000127988.2	0.10	0	0	0	0	7e-07	0.897	0	FRAG
JH584296.1	164326	165607	-	ENSMUSP00000096850.1	0.94	0	0	0	1	1e-50	0.94	0	DUP
JH584296.1	196566	197153	-	ENSMUSP00000136362.1	0.68	0	0	0	2	1e-86	0.872	0	FRAG
JH584297.1	50177	51484	-	ENSMUSP00000096850.1	1.00	0	0	0	1	2e-58	0.96	0	DUP
JH584297.1	100385	100675	-	ENSMUSP00000144523.1	0.51	0	0	0	0	2e-47	0.969	3	FRAG
JH584297.1	101764	101904	-	ENSMUSP00000088938.4	0.32	0	0	0	1	3e-08	0.617	0	FRAG
JH584297.1	144711	144797	-	ENSMUSP00000127988.2	0.10	0	0	0	0	7e-07	0.897	0	FRAG
JH584297.1	197647	200413	-	ENSMUSP00000129755.2	1.00	0	0	0	1	1e-110	0.94	0	DUP
CHR_MG4248_PATCH	15762122	15762232	-	ENSMUSP00000122084.1	0.13	2	0	0	1	8e-10	0.778	0	FRAG
CHR_MG4248_PATCH	15768634	15774167	-	ENSMUSP00000064226.8	0.22	12	1	1	4	1e-39	0.60	0	DUP
CHR_MG4248_PATCH	15769412	15769617	-	ENSMUSP00000083876.2	0.64	1	0	1	0	2e-11	0.710	0	FRAG
CHR_MG4248_PATCH	15770730	15770840	-	ENSMUSP00000082175.3	0.54	1	0	0	2	3e-08	0.806	3	FRAG
CHR_MG4248_PATCH	15772676	15772840	-	ENSMUSP00000082978.3	0.41	5	0	2	0	6e-07	0.709	0	FRAG
CHR_MG4248_PATCH	15777471	15777569	-	ENSMUSP00000082175.3	0.48	1	0	0	1	6e-07	0.844	2	FRAG
CHR_MG4248_PATCH	15783283	15783435	-	ENSMUSP00000150736.1	1.00	0	0	0	0	3e-16	0.784	0	PSSD
CHR_MG4248_PATCH	15783484	15784395	-	ENSMUSP00000150068.1	1.00	14	0	0	0	2e-119	0.855	0	PSSD
CHR_MG4248_PATCH	15787493	15787885	-	ENSMUSP00000064226.8	0.22	5	0	0	1	4e-45	0.725	0	FRAG
CHR_MG4248_PATCH	15788084	15906879	-	ENSMUSP00000148507.1	0.02	3	6	3	2	6e-21	0.76	0	DUP
CHR_MG4248_PATCH	15788285	15788491	-	ENSMUSP00000083876.2	0.64	0	0	0	0	3e-15	0.725	0	FRAG
CHR_MG4248_PATCH	15797102	15797293	-	ENSMUSP00000083876.2	0.59	0	0	0	0	4e-08	0.594	0	FRAG
CHR_MG4248_PATCH	15802675	15803030	-	ENSMUSP00000080571.4	0.65	1	22	1	2	2e-25	0.518	0	FRAG
CHR_MG4248_PATCH	15813620	15813998	-	ENSMUSP00000064226.8	0.22	7	9	2	1	2e-36	0.728	0	FRAG
CHR_MG4248_PATCH	15814381	15814552	-	ENSMUSP00000083876.2	0.53	1	0	1	0	2e-12	0.684	0	FRAG
CHR_MG4248_PATCH	15817781	15818155	-	ENSMUSP00000126384.1	0.96	2	64	2	4	2e-18	0.455	0	PSSD
CHR_MG4248_PATCH	15822791	15823168	-	ENSMUSP00000080571.4	0.61	2	8	2	1	8e-14	0.604	0	FRAG
CHR_MG4248_PATCH	15824244	15824650	-	ENSMUSP00000064226.8	0.22	6	0	1	1	3e-46	0.787	0	FRAG
CHR_MG4248_PATCH	15825035	15825238	-	ENSMUSP00000083876.2	0.63	1	0	0	1	2e-08	0.588	0	FRAG
CHR_MG4248_PATCH	15826983	15827396	-	ENSMUSP00000064226.8	0.22	9	0	2	0	6e-32	0.732	0	FRAG
CHR_MG4248_PATCH	15827783	15827970	-	ENSMUSP00000083876.2	0.64	1	6	1	0	2e-07	0.594	0	FRAG
CHR_MG4248_PATCH	15829464	15829802	-	ENSMUSP00000064226.8	0.19	6	2	0	3	5e-13	0.439	0	FRAG
CHR_MG4248_PATCH	15830717	15830956	-	ENSMUSP00000080571.4	0.36	1	0	0	0	8e-22	0.625	0	FRAG
CHR_MG4248_PATCH	15836914	15837276	-	ENSMUSP00000080571.4	0.66	0	22	0	0	2e-45	0.692	0	FRAG
CHR_MG4248_PATCH	15841271	15841666	-	ENSMUSP00000064226.8	0.22	5	0	0	1	2e-53	0.818	0	FRAG
CHR_MG4248_PATCH	15842058	15842270	-	ENSMUSP00000083876.2	0.64	2	0	0	0	3e-11	0.648	0	FRAG
CHR_MG4248_PATCH	15844692	15845027	-	ENSMUSP00000080571.4	0.61	0	22	0	3	5e-25	0.515	0	FRAG
CHR_MG4248_PATCH	15845555	15845779	-	ENSMUSP00000083876.2	0.69	0	0	0	1	2e-10	0.587	0	FRAG
CHR_MG4248_PATCH	15849668	15850066	-	ENSMUSP00000064226.8	0.22	8	0	2	3	1e-22	0.647	0	FRAG
CHR_MG4248_PATCH	15850451	15850648	-	ENSMUSP00000083876.2	0.61	0	0	0	1	1e-07	0.591	0	FRAG
CHR_MG4248_PATCH	15855845	15856159	-	ENSMUSP00000064226.8	0.17	5	1	0	1	3e-31	0.745	0	FRAG
CHR_MG4248_PATCH	15869336	15870520	-	ENSMUSP00000137335.1	0.77	17	5	4	9	7e-107	0.654	3	PSSD
CHR_MG4248_PATCH	15870701	15871103	-	ENSMUSP00000064226.8	0.23	7	2	2	1	3e-20	0.628	0	FRAG
CHR_MG4248_PATCH	15872551	15872936	-	ENSMUSP00000064226.8	0.21	10	1	4	3	2e-08	0.687	0	FRAG
CHR_MG4248_PATCH	15877776	15878088	-	ENSMUSP00000064226.8	0.17	6	3	1	2	1e-25	0.738	1	FRAG
CHR_MG4248_PATCH	15881514	15881632	-	ENSMUSP00000122084.1	0.14	3	0	1	1	4e-11	0.821	3	FRAG
CHR_MG4248_PATCH	15887999	15893570	-	ENSMUSP00000064226.8	0.22	11	1	0	4	1e-44	0.59	0	DUP
CHR_MG4248_PATCH	15890104	15890214	-	ENSMUSP00000082175.3	0.54	1	0	0	1	5e-09	0.833	3	FRAG
CHR_MG4248_PATCH	15891491	15891640	-	ENSMUSP00000082978.3	0.40	0	0	0	0	4e-12	0.700	2	FRAG
CHR_MG4248_PATCH	15892035	15892182	-	ENSMUSP00000082978.3	0.37	3	0	1	0	2e-09	0.714	0	FRAG
CHR_MG4248_PATCH	15897814	15899313	-	ENSMUSP00000137421.1	1.00	0	0	0	1	0.0	0.942	0	PSSD
CHR_MG4248_PATCH	15899501	15900412	-	ENSMUSP00000150068.1	1.00	14	0	0	1	4e-125	0.924	0	PSSD
CHR_MG4248_PATCH	15904288	15904563	-	ENSMUSP00000080571.4	0.52	0	22	0	0	2e-21	0.518	0	FRAG
CHR_MG4248_PATCH	15906922	15907131	-	ENSMUSP00000083876.2	0.63	2	0	0	0	5e-11	0.643	0	FRAG
CHR_MG4248_PATCH	15910075	15910409	-	ENSMUSP00000080571.4	0.61	1	22	1	0	1e-21	0.530	0	FRAG
CHR_MG4248_PATCH	15910878	15910997	-	ENSMUSP00000097593.3	0.35	0	0	0	1	7e-08	0.675	0	FRAG
CHR_MG4248_PATCH	15912429	15912650	-	ENSMUSP00000130870.1	0.45	0	0	0	1	1e-07	0.514	0	FRAG
CHR_MG4248_PATCH	15912944	15913108	-	ENSMUSP00000082978.3	0.49	0	7	0	1	7e-10	0.677	0	FRAG
CHR_MG4248_PATCH	15914671	15916169	-	ENSMUSP00000096471.3	1.00	6	2	3	1	0.0	0.767	0	PSSD
CHR_MG4248_PATCH	15916346	15917240	-	ENSMUSP00000150068.1	1.00	13	2	2	0	1e-91	0.664	0	PSSD
CHR_MG4248_PATCH	15917718	15918806	-	ENSMUSP00000028592.5	0.97	7	2	6	4	4e-111	0.773	3	PSSD
CHR_MG4248_PATCH	15919710	15920117	-	ENSMUSP00000064226.8	0.22	7	0	2	1	7e-36	0.772	0	FRAG
CHR_MG4248_PATCH	15920264	15920455	-	ENSMUSP00000148507.1	0.03	0	2	0	0	4e-16	0.727	0	FRAG
CHR_MG4248_PATCH	15920504	15920710	-	ENSMUSP00000083876.2	0.64	0	0	0	0	1e-13	0.667	0	FRAG
CHR_MG4248_PATCH	15925423	15925781	-	ENSMUSP00000080571.4	0.65	3	22	3	1	3e-18	0.542	0	FRAG
CHR_MG4248_PATCH	15934667	15935074	-	ENSMUSP00000064226.8	0.22	5	0	0	0	3e-57	0.838	0	FRAG
CHR_MG4248_PATCH	15935221	15961356	-	ENSMUSP00000148507.1	0.03	3	0	3	0	3e-19	0.80	0	DUP
CHR_MG4248_PATCH	15935469	15935669	-	ENSMUSP00000083876.2	0.62	0	0	0	0	6e-10	0.627	0	FRAG
CHR_MG4248_PATCH	15939523	15939913	-	ENSMUSP00000064226.8	0.22	6	0	2	3	9e-13	0.504	0	FRAG
CHR_MG4248_PATCH	15944610	15944816	-	ENSMUSP00000083876.2	0.62	2	0	0	0	5e-11	0.638	0	FRAG
CHR_MG4248_PATCH	15953398	15953550	-	ENSMUSP00000150736.1	1.00	0	0	0	0	6e-17	0.804	0	PSSD
CHR_MG4248_PATCH	15956264	15956619	-	ENSMUSP00000080571.4	0.65	1	22	1	0	1e-36	0.652	3	FRAG
CHR_MG4248_PATCH	15960609	15961011	-	ENSMUSP00000064226.8	0.22	4	0	1	0	1e-50	0.828	0	FRAG
CHR_MG4248_PATCH	15961405	15961608	-	ENSMUSP00000083876.2	0.61	2	0	0	0	3e-09	0.603	0	FRAG
CHR_MG4248_PATCH	15968021	15969079	-	ENSMUSP00000031160.9	0.87	7	18	6	4	9e-109	0.732	0	PSSD
CHR_MG4248_PATCH	15969227	15970424	-	ENSMUSP00000096471.3	0.58	7	6	3	2	1e-14	0.68	3	DUP
JH584304.1	21726	21977	-	ENSMUSP00000075057.3	0.62	3	5	3	0	1e-15	0.667	3	FRAG
JH584303.1	15724	16419	-	ENSMUSP00000129824.1	1.00	2	0	0	2	2e-115	0.935	0	PSSD
JH584303.1	16450	16563	-	ENSMUSP00000141061.1	0.84	0	0	0	0	2e-15	0.974	0	PSSD
JH584303.1	29321	29694	-	ENSMUSP00000085591.7	0.99	2	0	2	4	9e-24	0.637	3	PSSD
JH584303.1	147557	148150	-	ENSMUSP00000070216.4	0.43	11	2	5	5	6e-10	0.348	0	FRAG
JH584299.1	81700	84345	-	ENSMUSP00000092168.2	1.00	3	0	2	2	1e-101	0.87	0	DUP
JH584299.1	246770	247066	-	ENSMUSP00000084169.5	0.20	2	0	0	0	4e-42	0.909	0	FRAG
JH584299.1	388175	390820	-	ENSMUSP00000092168.2	1.00	3	0	2	1	3e-104	0.87	0	DUP
JH584299.1	708994	711639	-	ENSMUSP00000092168.2	1.00	3	0	2	2	1e-101	0.87	0	DUP
JH584293.1	83699	89274	-	ENSMUSP00000103615.1	0.99	3	25	3	1	0.0	0.94	0	DUP
JH584293.1	86182	87900	-	ENSMUSP00000136969.1	0.82	16	42	2	4	8e-11	0.580	0	PSSD
JH584293.1	98292	98411	-	ENSMUSP00000068585.3	0.26	0	0	0	0	6e-13	0.900	0	FRAG
CHR_MG4151_PATCH	3002631	3003210	-	ENSMUSP00000141163.1	0.36	17	0	5	2	2e-14	0.72	0	DUP
CHR_MG4151_PATCH	3005394	3005507	-	ENSMUSP00000082175.3	0.55	1	0	0	1	3e-07	0.784	0	FRAG
CHR_MG4151_PATCH	3006419	3006525	-	ENSMUSP00000114710.1	0.13	2	0	1	0	2e-07	0.917	2	FRAG
CHR_MG4151_PATCH	3010965	3011117	-	ENSMUSP00000114278.1	0.37	0	0	0	0	1e-18	0.804	0	FRAG
CHR_MG4151_PATCH	3023611	3024496	-	ENSMUSP00000150068.1	0.78	0	0	0	1	2e-73	0.84	3	DUP
CHR_MG4151_PATCH	3024168	3119710	-	ENSMUSP00000073455.5	0.20	1	0	1	1	6e-16	0.83	3	DUP
CHR_MG4151_PATCH	3040284	3040481	+	ENSMUSP00000148507.1	0.03	0	4	0	1	2e-13	0.686	0	FRAG
CHR_MG4151_PATCH	3044187	3044393	-	ENSMUSP00000083876.2	0.62	2	0	0	0	2e-09	0.594	0	FRAG
CHR_MG4151_PATCH	3050437	3052136	-	ENSMUSP00000125038.1	0.97	4	4	1	4	0.0	0.680	0	PSSD
CHR_MG4151_PATCH	3055056	3055430	-	ENSMUSP00000136252.1	0.73	3	0	0	2	3e-21	0.456	0	PSSD
CHR_MG4151_PATCH	3074830	3075149	-	ENSMUSP00000142938.1	0.17	1	0	1	1	6e-39	0.860	0	FRAG
CHR_MG4151_PATCH	3075337	3075610	-	ENSMUSP00000130208.1	0.98	1	0	1	0	3e-15	0.879	0	PSSD
CHR_MG4151_PATCH	3079684	3080100	-	ENSMUSP00000064226.8	0.23	5	0	0	0	6e-57	0.820	0	FRAG
CHR_MG4151_PATCH	3080245	3080443	-	ENSMUSP00000148507.1	0.03	1	0	1	0	4e-17	0.803	0	FRAG
CHR_MG4151_PATCH	3080504	3080698	-	ENSMUSP00000083876.2	0.60	0	0	0	0	3e-08	0.569	0	FRAG
CHR_MG4151_PATCH	3095550	3096016	-	ENSMUSP00000130870.1	0.98	1	6	1	3	7e-33	0.574	0	PSSD
CHR_MG4151_PATCH	3102318	3103844	-	ENSMUSP00000001818.4	0.74	7	3	5	8	0.0	0.817	0	PSSD
CHR_MG4151_PATCH	3105221	3105325	-	ENSMUSP00000082175.3	0.51	1	0	0	3	3e-08	0.882	3	FRAG
CHR_MG4151_PATCH	3109023	3111950	-	ENSMUSP00000098106.2	1.00	26	0	0	1	0.0	0.972	3	PSSD
CHR_MG4151_PATCH	3116016	3116478	-	ENSMUSP00000028551.3	0.93	3	17	3	11	7e-17	0.550	0	PSSD
CHR_MG4151_PATCH	3120116	3120272	-	ENSMUSP00000005504.8	0.06	1	5	1	0	3e-10	0.772	0	FRAG
CHR_MG4151_PATCH	3129688	3129780	-	ENSMUSP00000114386.1	0.24	0	0	0	0	4e-08	0.839	3	FRAG
CHR_MG4151_PATCH	3132513	3132614	-	ENSMUSP00000105567.1	1.00	0	0	0	1	1e-11	0.853	3	PSSD
CHR_MG4151_PATCH	3133939	3134040	-	ENSMUSP00000114710.1	0.14	0	2	0	0	6e-08	0.778	3	FRAG
CHR_MG4151_PATCH	3137079	3137183	-	ENSMUSP00000042958.7	0.11	0	0	0	0	1e-09	0.943	0	FRAG
CHR_MG4151_PATCH	3139533	3139949	-	ENSMUSP00000064226.8	0.23	5	0	0	0	2e-56	0.806	0	FRAG
CHR_MG4151_PATCH	3140105	3140272	-	ENSMUSP00000148507.1	0.03	0	2	0	0	9e-10	0.638	0	FRAG
CHR_MG4151_PATCH	3147145	3147313	-	ENSMUSP00000114278.1	0.40	1	0	1	2	3e-12	0.696	0	FRAG
CHR_MG4151_PATCH	3149306	3151312	-	ENSMUSP00000114278.1	0.36	1	0	1	0	1e-14	0.84	0	DUP
CHR_MG4151_PATCH	3151855	3152074	-	ENSMUSP00000082978.3	0.58	1	0	1	2	2e-16	0.699	0	FRAG
CHR_MG4151_PATCH	3159275	3159574	-	ENSMUSP00000082978.3	0.77	3	0	0	1	9e-16	0.510	0	PSSD
CHR_MG4151_PATCH	3160217	3160465	-	ENSMUSP00000114278.1	0.56	7	0	2	1	1e-13	0.602	0	FRAG
CHR_MG4151_PATCH	3164568	3164720	-	ENSMUSP00000114278.1	0.37	0	0	0	1	3e-20	0.863	0	FRAG
CHR_MG4151_PATCH	3165405	3165589	-	ENSMUSP00000082978.3	0.50	1	1	1	3	9e-11	0.667	0	FRAG
CHR_MG4151_PATCH	3169575	3169763	-	ENSMUSP00000082978.3	0.50	0	0	0	1	2e-09	0.667	0	FRAG
CHR_MG4151_PATCH	3170322	3170504	-	ENSMUSP00000082978.3	0.48	0	0	0	0	2e-12	0.754	3	FRAG
CHR_MG4151_PATCH	3170500	3170658	-	ENSMUSP00000114278.1	0.36	3	0	0	2	3e-13	0.692	0	FRAG
CHR_MG4151_PATCH	3170922	3171029	-	ENSMUSP00000114386.1	0.28	0	0	0	1	2e-07	0.750	3	FRAG
CHR_MG4151_PATCH	3172550	3172675	-	ENSMUSP00000114048.1	0.58	0	0	0	1	2e-07	0.643	3	FRAG
CHR_MG4151_PATCH	3172704	3172854	-	ENSMUSP00000114278.1	0.36	1	0	1	0	6e-15	0.820	0	FRAG
CHR_MG4151_PATCH	3173251	3173358	-	ENSMUSP00000114048.1	0.49	0	0	0	1	1e-08	0.750	3	FRAG
CHR_MG4151_PATCH	3173434	3173559	-	ENSMUSP00000114048.1	0.58	0	0	0	0	6e-12	0.810	3	FRAG
CHR_MG4151_PATCH	3177970	3178086	-	ENSMUSP00000114048.1	0.53	0	0	0	0	5e-09	0.769	3	FRAG
CHR_MG4151_PATCH	3179433	3179564	-	ENSMUSP00000114048.1	0.60	0	0	0	0	1e-09	0.682	0	FRAG
CHR_MG4151_PATCH	3181751	3181849	-	ENSMUSP00000082175.3	0.48	1	0	0	1	3e-07	0.875	0	FRAG
CHR_MG4151_PATCH	3182544	3182713	-	ENSMUSP00000082978.3	0.45	1	0	1	0	9e-13	0.789	0	FRAG
CHR_MG4151_PATCH	3184461	3184562	-	ENSMUSP00000105567.1	1.00	0	0	0	1	3e-12	0.882	3	PSSD
CHR_MG4151_PATCH	3185221	3185313	-	ENSMUSP00000082175.3	0.45	1	0	0	2	8e-07	0.900	3	FRAG
CHR_MG4151_PATCH	3186218	3186343	-	ENSMUSP00000114048.1	0.58	0	0	0	0	2e-11	0.786	3	FRAG
CHR_MG4151_PATCH	3186970	3187129	-	ENSMUSP00000114278.1	0.38	1	0	1	1	2e-14	0.736	0	FRAG
CHR_MG4151_PATCH	3187416	3187514	-	ENSMUSP00000105567.1	0.97	0	0	0	1	3e-13	0.970	0	PSSD
CHR_MG4151_PATCH	3189497	3189676	-	ENSMUSP00000082978.3	0.52	3	4	3	1	2e-11	0.785	0	FRAG
CHR_MG4151_PATCH	3189666	3189923	-	ENSMUSP00000114278.1	0.58	10	2	2	2	2e-09	0.523	0	FRAG
CHR_MG4151_PATCH	3190344	3190463	-	ENSMUSP00000114048.1	0.55	0	0	0	0	5e-11	0.825	3	FRAG
CHR_MG4151_PATCH	3190694	3190783	-	ENSMUSP00000114386.1	0.23	0	0	0	0	5e-09	0.900	3	FRAG
CHR_MG4151_PATCH	3190876	3190977	-	ENSMUSP00000082175.3	0.49	1	0	0	1	3e-08	0.879	3	FRAG
CHR_MG4151_PATCH	3191629	3191742	-	ENSMUSP00000082175.3	0.55	1	0	0	1	3e-08	0.811	3	FRAG
CHR_MG4151_PATCH	3192099	3192263	-	ENSMUSP00000082978.3	0.44	0	0	0	0	1e-16	0.836	3	FRAG
CHR_MG4151_PATCH	3192453	3192673	-	ENSMUSP00000116236.1	0.45	3	5	1	1	3e-12	0.506	0	FRAG
CHR_MG4151_PATCH	3195007	3195222	-	ENSMUSP00000082978.3	0.57	0	0	0	1	1e-14	0.681	3	FRAG
CHR_MG4151_PATCH	3195963	3196112	-	ENSMUSP00000082978.3	0.40	0	1	0	1	1e-11	0.706	0	FRAG
CHR_MG4151_PATCH	3196950	3197078	-	ENSMUSP00000114048.1	0.59	0	0	0	0	4e-08	0.674	3	FRAG
CHR_MG4151_PATCH	3197513	3197616	-	ENSMUSP00000082978.3	0.28	1	0	1	0	3e-08	0.800	0	FRAG
CHR_MG4151_PATCH	3198534	3198691	-	ENSMUSP00000114278.1	0.37	2	0	1	2	4e-10	0.679	3	FRAG
CHR_MG4151_PATCH	3200695	3200849	-	ENSMUSP00000083455.2	0.36	10	0	1	0	2e-07	0.635	0	FRAG
CHR_MG4151_PATCH	3201566	3201716	-	ENSMUSP00000114278.1	0.36	1	0	1	0	6e-15	0.840	0	FRAG
CHR_MG4151_PATCH	3204528	3204630	-	ENSMUSP00000105567.1	0.97	2	0	1	2	4e-08	0.882	3	FRAG
CHR_MG4151_PATCH	3206423	3206518	-	ENSMUSP00000114386.1	0.26	0	1	0	0	1e-07	0.788	3	FRAG
CHR_MG4151_PATCH	3206610	3206741	-	ENSMUSP00000073455.5	0.19	0	0	0	0	8e-16	0.886	3	FRAG
